Corresponding Matches From The Mapping File: 
P32234 128up                      128UP_DROME  P32234      FBgn0010339
P92177 14-3-3epsilon              1433E_DROME  P92177      FBgn0020238
P29310 14-3-3zeta                 1433Z_DROME  P29310      FBgn0004907
P81928 140up                      140U_DROME   P81928      FBgn0010340
P04283 17.6\env                   ENV17_DROME  P04283      FBgn0027624
P04282 17.6\gag                   GAG17_DROME  P04282      FBgn0044339
P04323 17.6\pol                   POL3_DROME   P04323      FBgn0014453
P20829 297\env                    ENV2_DROME   P20829      FBgn0027623
P20828 297\gag                    GAG2_DROME   P20828      FBgn0044338
P20825 297\pol                    POL2_DROME   P20825      FBgn0027622
P10394 412\ORF3                   POL4_DROME   P10394      FBgn0043847
P28285 5-HT1A                     5HT2A_DROME  P28285      FBgn0004168
P28286 5-HT1B                     5HT2B_DROME  P28286      FBgn0263116
P20905 5-HT7                      5HT1R_DROME  P20905      FBgn0004573
P54185 a5                         OBA5_DROME   P54185      FBgn0011294
O46341 a6                         A6_DROME     O46341      FBgn0023130
Q27377 a10                        OB10_DROME   Q27377      FBgn0011293
Q9V431 Aac11                      API5_DROME   Q9V431      FBgn0027885
Q9VM95 Aatf                       AATF_DROME   Q9VM95      FBgn0031851
Q9VLM8 Aats-ala                   SYAC_DROME   Q9VLM8      FBgn0027094
Q9Y105 Aats-gln                   SYQ_DROME    Q9Y105      FBgn0027090
Q9VFL5 Aats-met-m                 SYMM_DROME   Q9VFL5      FBgn0027083
Q9VSY6 aay                        SERB_DROME   Q9VSY6      FBgn0023129
Q24174 ab                         ABRU_DROME   Q24174      FBgn0264442
P29555 abd-A                      ABDA_DROME   P29555      FBgn0000014
P09087 Abd-B                      ABDB_DROME   P09087      FBgn0000015
P00522 Abl                        ABL_DROME    P00522      FBgn0000017
Q9VU84 Abp1                       DBNL_DROME   Q9VU84      FBgn0036372
Q9V3C0 abs                        DDX41_DROME  Q9V3C0      FBgn0015331
P10083 ac                         AST5_DROME   P10083      FBgn0000022
Q9VW60 Ac76E                      ADCY2_DROME  Q9VW60      FBgn0004852
P49258 Acam                       CALL_DROME   P49258      FBgn0011273
Q9VP61 AcCoAS                     ACSA_DROME   Q9VP61      FBgn0012034
P07140 Ace                        ACES_DROME   P07140      FBgn0000024
Q9VLJ6 Acer                       ACER_DROME   Q9VLJ6      FBgn0016122
P24350 acj6                       IPOU_DROME   P24350      FBgn0000028
Q26416 Acp1                       CUA1_DROME   Q26416      FBgn0014454
P10333 Acp26Aa                    MS2A_DROME   P10333      FBgn0002855
P10334 Acp26Ab                    MS2B_DROME   P10334      FBgn0002856
O46197 Acp29AB                    A29AB_DROME  O46197      FBgn0015583
O46203 Acp32CD                    A32CD_DROME  O46203      FBgn0023415
O46227 Acp33A                     A33A_DROME   O46227      FBgn0267327
Q9V3R1 Acp36DE                    A36DE_DROME  Q9V3R1      FBgn0011559
O46199 Acp53Ea                    A53E_DROME   O46199      FBgn0015584
O46202 Acp62F                     A62F_DROME   O46202      FBgn0020509
O46200 Acp63F                     A63F_DROME   O46200      FBgn0015585
